component_size,loading_time,graph_time,leiden_time,writing_time
3175135,17.301315307617188,24.72689986228943,168.19080996513367,4.456905126571655
1766,9.761753797531128,0.002161264419555664,0.024901628494262695,0.010658979415893555
1192,9.841966152191162,0.009387731552124023,0.06304359436035156,0.0011458396911621094
651,9.819029331207275,0.0031976699829101562,0.024071216583251953,0.0006778240203857422
649,9.790032148361206,0.003222227096557617,0.025846242904663086,0.0006690025329589844
599,9.753599643707275,0.0006585121154785156,0.008883237838745117,0.0006284713745117188
567,9.79888105392456,0.0007331371307373047,0.009905099868774414,0.0006113052368164062
526,9.916247129440308,0.0024611949920654297,0.018479347229003906,0.0005667209625244141
520,9.803457975387573,0.0028433799743652344,0.020554542541503906,0.0005571842193603516
506,9.76832389831543,0.0026040077209472656,0.018941402435302734,0.0005471706390380859
498,9.798303365707397,0.0027379989624023438,0.020394086837768555,0.0005466938018798828
488,9.735995054244995,0.002235889434814453,0.017902374267578125,0.0005283355712890625
467,9.668060779571533,0.002447366714477539,0.0177156925201416,0.0005140304565429688
462,9.634676456451416,0.0012941360473632812,0.011190652847290039,0.0005121231079101562
457,9.691466569900513,0.002379179000854492,0.020606040954589844,0.0005071163177490234
454,9.795920372009277,0.0023186206817626953,0.01655435562133789,0.0005125999450683594
436,9.83979344367981,0.002224445343017578,0.016434431076049805,0.0005040168762207031
426,9.685683965682983,0.001909017562866211,0.01586461067199707,0.0004849433898925781
416,9.765284299850464,0.0021517276763916016,0.015213966369628906,0.0004849433898925781
414,9.712714433670044,0.0022382736206054688,0.01685786247253418,0.0004787445068359375
